1a	111111	1011011	111011	34	4a	30	46	2	2c	22	1100011
1001	6	1001011	4e	1100011	3a	22	111001	10101	2e	101111	1111
1001001	24	44	1100001	62	2e	1101	101001	42	5a	10101	101001
101011	26	40	11111	110001	1000101	48	c	60	2a	8	62
1010011	100011	101111	101011	110101	6	54	8	1010001	5e	56	3c
40	38	3a	1001001	12	1100001	101001	1000011	111001	5a	12	1001011
101101	101111	10001	10	48	54	3a	42	1111	1011011	48	62
100111	2a	110001	1011001	11101	1001111	1000001	1011	11011	2c	101	100001
1001001	1001011	1e	1011001	1001001	54	1100001	30	3c	62	50	64
1001001	20	1011001	14	56	44	1000001	110011	111011	5a	101011	101101
1a	11	1111	e	5e	3e	110111	50	1a	3c	1000011	1001101
1010111	10001	6	110101	1111	44	1010111	1000101	34	48	1010101	1000001
1000001	48	10111	48	110011	1100011	1	24	1001011	1010111	24	1011001
110001	101001	1c	28	10101	20	1001001	40	11101	1000101	38	3c
1c	1101	a	58	101111	24	11001	1001101	36	e	1101	1010111
62	1011001	4a	11	4a	1001	101011	1000011	1001	1011	44	1100011
110101	101	1000011	101011	1011001	4e	12	1011001	44	1	58	110111
64	1010001	38	1010101	1001101	3e	16	60	4c	11001	11	4e
11011	1001011	1a	1111	1100011	1011001	101101	60	2a	36	1001101	14
4c	111	26	1011101	10101	26	48	10011	1e	60	2	3e
1a	4a	62	1010101	52	50	110111	101101	1010111	110101	4c	3a
1c	101	1100001	1010011	38	10	11	28	100111	111111	1000011	8
1e	101001	4c	111	1010011	36	50	20	11011	1101	0	48
1000011	1101	4c	5e	2e	2e	1001101	11011	1001011	44	8	1011
111001	4e	22	4e	2e	1100011	32	11111	100011	1011101	32	38
10111	1c	1111	28	62	8	46	111011	2a	2	111	5e
16	10101	11101	1c	22	20	3c	101111	e	10011	101001	1001011
111	100101	5a	1c	111001	36	1011001	58	54	1001001	11001	6
24	32	1001101	101001	1011	11011	4a	1011001	34	11101	111011	40
30	20	10011	14	1001	1e	100111	54	1001101	110101	1101	101001
1001001	1001101	1011101	11111	2c	11011	1000111	3a	101	34	54	14
5c	1c	18	4a	111111	1010001	16	1100001	100111	3c	111001	6
28	26	1010111	5e	a	18	1100001	6	1010101	1001011	11011	111001
1101	1111	60	16	10101	1001011	20	a	11	52	1c	e
